Content,Player,Team,Agents Played,A,ACS,ADR,APR,CL%,D,FD,FDPR,FK,FKPR,HS%,K,K:D,KAST,KMax,KPR,R2.0,Rnd
Player Jazzyk1ns from team Passion Project has the following stats: R2.0: 1.11 ACS: 234.58 K:D: 1.19 KAST: 73.84 ADR: 154.35 KPR: 0.8 APR: 0.26 FKPR: 0.16 FDPR: 0.15 HS%: 20.41 CL%: 16.79 KMax: 27.28 K: 732.0 D: 623.92 A: 240.41 FK: 146.75 FD: 134.92 Rnd: 3377,Jazzyk1ns,Passion Project,"jett, raze, sage",240.41,234.58,154.35,0.26,16.79,623.92,134.92,0.15,146.75,0.16,20.41,732.0,1.19,73.84,27.28,0.8,1.11,3377
Player dodonut from team FlyQuest RED has the following stats: R2.0: 1.23 ACS: 257.52 K:D: 1.29 KAST: 75.21 ADR: 168.52 KPR: 0.89 APR: 0.23 FKPR: 0.19 FDPR: 0.15 HS%: 21.31 CL%: 19.29 KMax: 38.63 K: 991.36 D: 754.7 A: 250.46 FK: 218.51 FD: 162.89 Rnd: 3036,dodonut,FlyQuest RED,"raze, jett, sova",250.46,257.52,168.52,0.23,19.29,754.7,162.89,0.15,218.51,0.19,21.31,991.36,1.29,75.21,38.63,0.89,1.23,3036
Player enerii from team Xipto Esports has the following stats: R2.0: 1.28 ACS: 283.55 K:D: 1.42 KAST: 77.13 ADR: 178.37 KPR: 0.99 APR: 0.24 FKPR: 0.21 FDPR: 0.14 HS%: 24.94 CL%: 19.74 KMax: 34.79 K: 864.09 D: 612.57 A: 208.85 FK: 186.12 FD: 127.14 Rnd: 3023,enerii,Xipto Esports,"raze, jett, reyna",208.85,283.55,178.37,0.24,19.74,612.57,127.14,0.14,186.12,0.21,24.94,864.09,1.42,77.13,34.79,0.99,1.28,3023
Player daiki from team Team Liquid Brazil has the following stats: R2.0: 1.15 ACS: 213.54 K:D: 1.21 KAST: 77.0 ADR: 137.61 KPR: 0.75 APR: 0.38 FKPR: 0.08 FDPR: 0.07 HS%: 28.04 CL%: 19.71 KMax: 27.99 K: 917.04 D: 753.28 A: 467.33 FK: 93.86 FD: 79.03 Rnd: 3737,daiki,Team Liquid Brazil,"sova, skye, fade",467.33,213.54,137.61,0.38,19.71,753.28,79.03,0.07,93.86,0.08,28.04,917.04,1.21,77.0,27.99,0.75,1.15,3737
Player Ayumiii from team BOBA has the following stats: R2.0: 1.2 ACS: 249.62 K:D: 1.29 KAST: 75.54 ADR: 159.67 KPR: 0.88 APR: 0.24 FKPR: 0.18 FDPR: 0.13 HS%: 21.6 CL%: 21.09 KMax: 36.95 K: 903.17 D: 696.09 A: 238.67 FK: 191.15 FD: 130.13 Rnd: 3608,Ayumiii,BOBA,"jett, chamber, raze",238.67,249.62,159.67,0.24,21.09,696.09,130.13,0.13,191.15,0.18,21.6,903.17,1.29,75.54,36.95,0.88,1.2,3608
Player Kohaibi from team BOBA has the following stats: R2.0: 1.24 ACS: 239.43 K:D: 1.35 KAST: 79.77 ADR: 160.61 KPR: 0.86 APR: 0.27 FKPR: 0.1 FDPR: 0.07 HS%: 22.94 CL%: 16.36 KMax: 29.01 K: 749.37 D: 541.61 A: 235.68 FK: 94.61 FD: 66.45 Rnd: 2802,Kohaibi,BOBA,"raze, killjoy, reyna",235.68,239.43,160.61,0.27,16.36,541.61,66.45,0.07,94.61,0.1,22.94,749.37,1.35,79.77,29.01,0.86,1.24,2802
Player meL from team Shopify Rebellion has the following stats: R2.0: 1.17 ACS: 220.3 K:D: 1.26 KAST: 78.2 ADR: 139.63 KPR: 0.78 APR: 0.36 FKPR: 0.13 FDPR: 0.09 HS%: 26.29 CL%: 23.68 KMax: 26.15 K: 750.59 D: 602.71 A: 345.84 FK: 124.41 FD: 88.28 Rnd: 3663,meL,Shopify Rebellion,"omen, viper, chamber",345.84,220.3,139.63,0.36,23.68,602.71,88.28,0.09,124.41,0.13,26.29,750.59,1.26,78.2,26.15,0.78,1.17,3663
Player AnnieDro from team Cloud9 White has the following stats: R2.0: 1.2 ACS: 214.13 K:D: 1.35 KAST: 80.06 ADR: 142.59 KPR: 0.73 APR: 0.37 FKPR: 0.06 FDPR: 0.06 HS%: 18.36 CL%: 21.15 KMax: 24.61 K: 288.89 D: 210.41 A: 151.1 FK: 26.24 FD: 22.28 Rnd: 752,AnnieDro,Cloud9 White,"sova, raze, breach",151.1,214.13,142.59,0.37,21.15,210.41,22.28,0.06,26.24,0.06,18.36,288.89,1.35,80.06,24.61,0.73,1.2,752
Player bstrdd from team Team Liquid Brazil has the following stats: R2.0: 1.19 ACS: 258.9 K:D: 1.31 KAST: 72.52 ADR: 166.16 KPR: 0.91 APR: 0.19 FKPR: 0.2 FDPR: 0.14 HS%: 27.44 CL%: 20.94 KMax: 31.83 K: 1106.23 D: 839.72 A: 236.98 FK: 240.62 FD: 170.56 Rnd: 3737,bstrdd,Team Liquid Brazil,"jett, raze, skye",236.98,258.9,166.16,0.19,20.94,839.72,170.56,0.14,240.62,0.2,27.44,1106.23,1.31,72.52,31.83,0.91,1.19,3737
Player muffinloop from team 9to5 workers has the following stats: R2.0: 1.02 ACS: 231.13 K:D: 1.0 KAST: 66.74 ADR: 150.53 KPR: 0.8 APR: 0.26 FKPR: 0.17 FDPR: 0.16 HS%: 26.61 CL%: 17.0 KMax: 25.57 K: 421.25 D: 446.07 A: 153.39 FK: 87.45 FD: 90.39 Rnd: 899,muffinloop,9to5 workers,"jett, kayo, skye",153.39,231.13,150.53,0.26,17.0,446.07,90.39,0.16,87.45,0.17,26.61,421.25,1.0,66.74,25.57,0.8,1.02,899
