agents,games,rounds,rating,acs,k/d,adr,kast,kpr,apr,fkpr,fdpr,kills,deaths,assists,first bloods,first deaths,Player Name,URL
,,,,,,,,,,,,,,,,,SkaNoodles,https://www.vlr.gg/player/14798/skanoodles?timespan=all
sova,(110) 57%,2261,0.99,179.6,0.94,119.2,73%,0.61,0.34,0.05,0.05,1383,1465,759,108,105,SkaNoodles,https://www.vlr.gg/player/14798/skanoodles?timespan=all
jett,(15) 8%,313,1.06,223.4,1.10,138.7,72%,0.77,0.20,0.17,0.17,242,221,63,52,54,SkaNoodles,https://www.vlr.gg/player/14798/skanoodles?timespan=all
breach,(14) 7%,303,1.03,176.9,0.97,109.1,77%,0.63,0.50,0.04,0.05,191,197,151,13,14,SkaNoodles,https://www.vlr.gg/player/14798/skanoodles?timespan=all
,,,,,,,,,,,,,,,,,FonTuz,https://www.vlr.gg/player/17303/fontuz?timespan=all
sova,(26) 38%,524,1.08,198.2,1.05,135.1,73%,0.71,0.26,0.06,0.07,373,354,136,32,36,FonTuz,https://www.vlr.gg/player/17303/fontuz?timespan=all
gekko,(10) 15%,205,1.00,197.6,0.96,130.1,71%,0.72,0.24,0.08,0.09,147,153,49,17,19,FonTuz,https://www.vlr.gg/player/17303/fontuz?timespan=all
fade,(6) 9%,140,1.00,182.2,0.97,124.7,73%,0.64,0.29,0.04,0.07,89,92,41,6,10,FonTuz,https://www.vlr.gg/player/17303/fontuz?timespan=all
,,,,,,,,,,,,,,,,,moose,https://www.vlr.gg/player/7458/moose?timespan=all
killjoy,(145) 25%,2983,1.13,207.0,1.25,140.3,74%,0.75,0.16,0.09,0.07,2226,1787,470,255,208,moose,https://www.vlr.gg/player/7458/moose?timespan=all
viper,(133) 23%,2724,1.22,232.5,1.36,150.4,78%,0.82,0.32,0.11,0.08,2240,1648,863,291,220,moose,https://www.vlr.gg/player/7458/moose?timespan=all
sova,(106) 18%,2253,1.14,207.3,1.10,136.6,77%,0.69,0.34,0.08,0.06,1553,1413,770,182,125,moose,https://www.vlr.gg/player/7458/moose?timespan=all
,,,,,,,,,,,,,,,,,empty,https://www.vlr.gg/player/25080/empty?timespan=all
omen,(33) 29%,678,0.87,180.0,0.85,114.0,73%,0.62,0.45,0.08,0.10,420,496,305,54,70,empty,https://www.vlr.gg/player/25080/empty?timespan=all
viper,(26) 23%,577,0.96,199.9,0.95,135.1,70%,0.68,0.28,0.10,0.11,394,414,161,57,65,empty,https://www.vlr.gg/player/25080/empty?timespan=all
skye,(16) 14%,337,0.86,160.4,0.82,108.7,67%,0.57,0.30,0.06,0.07,192,233,101,19,22,empty,https://www.vlr.gg/player/25080/empty?timespan=all
,,,,,,,,,,,,,,,,,Myth,https://www.vlr.gg/player/1771/myth?timespan=all
