agents,games,rounds,rating,acs,k/d,adr,kast,kpr,apr,fkpr,fdpr,kills,deaths,assists,first bloods,first deaths,Player Name,URL
,,,,,,,,,,,,,,,,,Calvrix,https://www.vlr.gg/player/30722/calvrix?timespan=all
killjoy,(48) 36%,930,1.10,208.3,1.21,140.8,75%,0.75,0.16,0.09,0.08,696,577,153,80,74,Calvrix,https://www.vlr.gg/player/30722/calvrix?timespan=all
cypher,(37) 28%,783,0.97,192.3,0.99,126.4,67%,0.68,0.23,0.07,0.10,535,538,184,55,75,Calvrix,https://www.vlr.gg/player/30722/calvrix?timespan=all
viper,(9) 7%,173,0.84,174.7,0.89,117.3,65%,0.61,0.21,0.08,0.10,105,118,37,14,17,Calvrix,https://www.vlr.gg/player/30722/calvrix?timespan=all
,,,,,,,,,,,,,,,,,cjsakura,https://www.vlr.gg/player/29444/cjsakura?timespan=all
omen,(45) 46%,917,0.99,183.4,0.95,118.1,74%,0.65,0.44,0.07,0.08,596,626,405,67,73,cjsakura,https://www.vlr.gg/player/29444/cjsakura?timespan=all
brimstone,(13) 13%,260,1.07,185.8,1.05,114.6,81%,0.67,0.50,0.03,0.04,174,166,129,8,11,cjsakura,https://www.vlr.gg/player/29444/cjsakura?timespan=all
viper,(10) 10%,218,0.78,170.5,0.76,114.9,66%,0.61,0.29,0.06,0.11,132,174,63,13,24,cjsakura,https://www.vlr.gg/player/29444/cjsakura?timespan=all
,,,,,,,,,,,,,,,,,Cla,https://www.vlr.gg/player/17395/cla?timespan=all
raze,(201) 77%,4049,1.22,258.3,1.31,166.8,78%,0.89,0.25,0.17,0.13,3597,2755,1002,701,514,Cla,https://www.vlr.gg/player/17395/cla?timespan=all
jett,(18) 7%,390,0.95,199.2,1.01,129.1,68%,0.72,0.17,0.14,0.18,279,276,66,56,69,Cla,https://www.vlr.gg/player/17395/cla?timespan=all
neon,(11) 4%,230,1.09,239.5,1.06,149.8,69%,0.81,0.22,0.21,0.13,187,176,50,49,29,Cla,https://www.vlr.gg/player/17395/cla?timespan=all
,,,,,,,,,,,,,,,,,Jinx,https://www.vlr.gg/player/17546/jinx?timespan=all
breach,(23) 31%,471,1.07,204.4,0.96,138.7,76%,0.71,0.49,0.07,0.08,336,350,233,35,36,Jinx,https://www.vlr.gg/player/17546/jinx?timespan=all
skye,(16) 22%,326,0.95,191.7,0.87,120.0,70%,0.62,0.42,0.09,0.10,203,233,138,29,33,Jinx,https://www.vlr.gg/player/17546/jinx?timespan=all
kayo,(9) 12%,188,1.13,212.2,1.05,135.7,80%,0.70,0.69,0.11,0.07,131,125,130,20,13,Jinx,https://www.vlr.gg/player/17546/jinx?timespan=all
,,,,,,,,,,,,,,,,,calsushi,https://www.vlr.gg/player/28530/calsushi?timespan=all
sova,(52) 33%,1001,1.13,211.7,1.12,143.2,75%,0.75,0.28,0.06,0.05,748,666,283,61,47,calsushi,https://www.vlr.gg/player/28530/calsushi?timespan=all
skye,(40) 26%,789,1.14,203.1,1.12,131.6,78%,0.73,0.49,0.04,0.04,574,511,385,30,30,calsushi,https://www.vlr.gg/player/28530/calsushi?timespan=all
fade,(25) 16%,485,1.16,204.2,1.17,136.5,76%,0.75,0.38,0.06,0.03,364,310,185,30,15,calsushi,https://www.vlr.gg/player/28530/calsushi?timespan=all
,,,,,,,,,,,,,,,,,capybara,https://www.vlr.gg/player/29474/capybara?timespan=all
raze,(69) 76%,1385,1.13,258.5,1.17,169.1,74%,0.88,0.23,0.19,0.17,1215,1040,325,266,230,capybara,https://www.vlr.gg/player/29474/capybara?timespan=all
jett,(18) 20%,393,1.18,254.6,1.30,161.8,75%,0.93,0.17,0.21,0.17,366,281,68,83,66,capybara,https://www.vlr.gg/player/29474/capybara?timespan=all
chamber,(4) 4%,75,0.92,187.0,0.92,136.9,68%,0.73,0.16,0.11,0.15,55,60,12,8,11,capybara,https://www.vlr.gg/player/29474/capybara?timespan=all
,,,,,,,,,,,,,,,,,citrus,https://www.vlr.gg/player/44499/citrus?timespan=all
sova,(13) 30%,257,1.11,211.8,1.18,141.3,74%,0.74,0.30,0.10,0.08,190,161,76,25,20,citrus,https://www.vlr.gg/player/44499/citrus?timespan=all
cypher,(8) 18%,164,0.96,186.0,0.98,120.6,68%,0.69,0.21,0.05,0.11,113,115,35,9,18,citrus,https://www.vlr.gg/player/44499/citrus?timespan=all
brimstone,(7) 16%,131,1.07,177.7,1.20,113.2,73%,0.64,0.38,0.08,0.09,84,70,50,10,12,citrus,https://www.vlr.gg/player/44499/citrus?timespan=all
,,,,,,,,,,,,,,,,,Stacey,https://www.vlr.gg/player/20774/stacey?timespan=all
jett,(58) 62%,1216,1.01,221.3,1.10,143.2,68%,0.78,0.12,0.20,0.20,953,868,150,247,242,Stacey,https://www.vlr.gg/player/20774/stacey?timespan=all
raze,(22) 24%,426,1.12,239.9,1.16,160.7,73%,0.81,0.23,0.19,0.18,344,297,99,82,76,Stacey,https://www.vlr.gg/player/20774/stacey?timespan=all
chamber,(4) 4%,95,1.16,290.8,1.26,172.5,77%,1.01,0.12,0.23,0.15,96,76,11,22,14,Stacey,https://www.vlr.gg/player/20774/stacey?timespan=all
,,,,,,,,,,,,,,,,,Kathrina,https://www.vlr.gg/player/46884/kathrina?timespan=all
skye,(9) 33%,191,0.91,171.4,0.80,108.1,72%,0.59,0.49,0.03,0.09,113,141,94,6,17,Kathrina,https://www.vlr.gg/player/46884/kathrina?timespan=all
sova,(8) 30%,166,0.88,190.8,0.82,127.2,64%,0.64,0.25,0.05,0.09,107,130,42,9,15,Kathrina,https://www.vlr.gg/player/46884/kathrina?timespan=all
gekko,(8) 30%,159,1.07,206.1,1.09,130.4,75%,0.70,0.38,0.08,0.06,112,103,61,13,10,Kathrina,https://www.vlr.gg/player/46884/kathrina?timespan=all
,,,,,,,,,,,,,,,,,xann,https://www.vlr.gg/player/37923/xann?timespan=all
