agents,games,rounds,rating,acs,k/d,adr,kast,kpr,apr,fkpr,fdpr,kills,deaths,assists,first bloods,first deaths,Player Name,URL
,,,,,,,,,,,,,,,,,Zest,https://www.vlr.gg/player/772/zest?timespan=all
sova,(182) 56%,3703,1.03,195.0,1.12,124.6,73%,0.68,0.30,0.08,0.08,2519,2254,1110,289,291,Zest,https://www.vlr.gg/player/772/zest?timespan=all
sage,(41) 13%,801,1.03,219.5,1.16,135.3,72%,0.76,0.31,0.14,0.11,606,524,250,110,83,Zest,https://www.vlr.gg/player/772/zest?timespan=all
fade,(35) 11%,700,0.99,182.7,1.00,119.6,76%,0.65,0.30,0.07,0.08,455,454,210,48,57,Zest,https://www.vlr.gg/player/772/zest?timespan=all
,,,,,,,,,,,,,,,,,Arqa1m,https://www.vlr.gg/player/8509/arqa1m?timespan=all
jett,(29) 78%,558,1.06,232.8,1.22,144.9,72%,0.82,0.16,0.14,0.11,459,375,91,80,61,Arqa1m,https://www.vlr.gg/player/8509/arqa1m?timespan=all
raze,(7) 19%,147,0.70,212.0,0.94,150.1,74%,0.71,0.19,0.09,0.12,104,111,28,13,17,Arqa1m,https://www.vlr.gg/player/8509/arqa1m?timespan=all
sage,(1) 3%,19,,217.0,1.00,141.9,,0.74,0.16,0.11,0.11,14,14,3,2,2,Arqa1m,https://www.vlr.gg/player/8509/arqa1m?timespan=all
,,,,,,,,,,,,,,,,,saadhak,https://www.vlr.gg/player/727/saadhak?timespan=all
kayo,(75) 21%,1543,1.04,205.8,0.99,131.0,75%,0.67,0.56,0.11,0.12,1040,1051,870,177,191,saadhak,https://www.vlr.gg/player/727/saadhak?timespan=all
cypher,(74) 21%,1431,1.07,230.1,1.33,145.6,73%,0.80,0.36,0.13,0.08,1141,857,511,187,113,saadhak,https://www.vlr.gg/player/727/saadhak?timespan=all
killjoy,(57) 16%,1188,1.02,216.1,1.12,144.3,72%,0.72,0.27,0.10,0.11,857,768,326,112,128,saadhak,https://www.vlr.gg/player/727/saadhak?timespan=all
,,,,,,,,,,,,,,,,,fiziq,https://www.vlr.gg/player/739/fiziq?timespan=all
sova,(474) 71%,9654,1.09,203.2,1.09,134.9,75%,0.69,0.34,0.07,0.07,6677,6141,3286,708,651,fiziq,https://www.vlr.gg/player/739/fiziq?timespan=all
skye,(80) 12%,1617,0.93,181.7,0.92,115.7,70%,0.64,0.37,0.08,0.10,1027,1117,605,134,157,fiziq,https://www.vlr.gg/player/739/fiziq?timespan=all
breach,(36) 5%,747,0.85,152.4,0.76,101.4,73%,0.52,0.41,0.05,0.08,391,515,307,38,61,fiziq,https://www.vlr.gg/player/739/fiziq?timespan=all
,,,,,,,,,,,,,,,,,roxie,https://www.vlr.gg/player/2570/roxie?timespan=all
sova,(121) 34%,2523,0.98,186.5,0.96,125.7,71%,0.64,0.31,0.07,0.08,1615,1675,773,172,211,roxie,https://www.vlr.gg/player/2570/roxie?timespan=all
breach,(77) 21%,1584,0.98,180.2,0.94,115.2,73%,0.66,0.39,0.07,0.10,1041,1112,615,103,148,roxie,https://www.vlr.gg/player/2570/roxie?timespan=all
skye,(30) 8%,611,0.85,174.2,0.83,112.3,68%,0.62,0.31,0.08,0.10,376,455,188,51,63,roxie,https://www.vlr.gg/player/2570/roxie?timespan=all
,,,,,,,,,,,,,,,,,ZeroData,https://www.vlr.gg/player/3966/zerodata?timespan=all
sova,(156) 55%,3275,1.09,205.3,1.05,138.3,73%,0.70,0.33,0.06,0.06,2278,2166,1081,210,191,ZeroData,https://www.vlr.gg/player/3966/zerodata?timespan=all
killjoy,(28) 10%,524,0.95,175.8,1.04,120.0,69%,0.64,0.13,0.08,0.07,335,321,69,40,35,ZeroData,https://www.vlr.gg/player/3966/zerodata?timespan=all
breach,(22) 8%,436,0.94,178.0,0.89,118.8,71%,0.63,0.36,0.05,0.05,276,310,157,21,20,ZeroData,https://www.vlr.gg/player/3966/zerodata?timespan=all
,,,,,,,,,,,,,,,,,Relyks,https://www.vlr.gg/player/58/relyks?timespan=all
omen,(92) 38%,1905,0.95,196.6,1.02,118.4,72%,0.71,0.25,0.08,0.09,1345,1321,473,148,119,Relyks,https://www.vlr.gg/player/58/relyks?timespan=all
raze,(83) 34%,1703,0.96,237.7,1.18,153.7,69%,0.80,0.22,0.12,0.10,1367,1158,374,200,165,Relyks,https://www.vlr.gg/player/58/relyks?timespan=all
phoenix,(22) 9%,468,1.11,211.8,1.00,133.0,61%,0.72,0.24,0.09,0.14,336,336,111,40,54,Relyks,https://www.vlr.gg/player/58/relyks?timespan=all
,,,,,,,,,,,,,,,,,M1kE,https://www.vlr.gg/player/11106/m1ke?timespan=all
