In-Game Name,Team
Abo,Titan Esports Club
ACHRF,Onyx Ravens
Aco,ZETA DIVISION GC
Addicted,SAW
Adenina,9z Team Female
Adm1k,Incognito
Akame,REJECT
Amaterasu,Team Sarafa
Andrehs,Akave Esports Black
AndreSG,FUZOS
ANGE1,Natus Vincere
Anthem,DetonatioN FocusMe
ANXiOS,trashcan
Apinya,FULL SENSE
Aqua,EX0TIK GAMING
Arch,B8 Esports
AYRIN,CrossFire
B3Ar,Bilibili Gaming
B3ta,XERXIA
BALLI,HGE Esports
BEAST,19esports
BennY,CGN Esports
Benzki,K10
BerLIN,FunPlus Phoenix
BeyAz,Turkish
Bgg,R8 Esports
Biank,Trace Esports
BlitzeN,TeamOrangeGaming
Blossom,ALTERNATE aTTaX Ruby
Boaster,Fnatic
Boo,Team Heretics
Boostio,100 Thieves
Brädi,apinaorkesteri
BULD,GoNext Esports
Bunni,FUSION X
Bzt,Chipi Chapa's
CaydeN,DSYRE
CeNder,Team Vitality
Chechuu,Melilla Titans
Chrollo,Team RA'AD
Cille,HEROIC Valkyries
Cloud,GIANTX
CLZ,FENNEL
Crws,Talon Esports
Daiki,Team Liquid Brazil
Deigara,9z Team
Dimasick,KeepBest Gaming
DOOBS,WYLDE Academy
Dragy,Dewa United
DrakoNz,Legacy
DrastZ,VX300 Gaming
Ec1s,Maryville Esports
EduCoz,QLASH
Effy,Moldovan
Electus,Team Occupy
Estrella,Rex Regum Qeon
F0rsakeN,Paper Rex
Faceroll,Veni eSports
Fiziq,YFP Gaming
Flossie,FiRePOWER
Flyuh,Moist x Shopify Rebellion
FNS,NRG
Foxie,DVM
Frantastic,FiRePOWER
Fross,XSOUL
FuriouzMeow,Mania Esports
Fyg,University of Houston
Gaabxx,RED Canids
GatsH,Spanish
Glovee,Galakticos
HaxZorus,YARI X CTRL
Healing,DRX Changers
HearthBeat,SweetNSour
HeiB,Trace Esports
Hitch,ESC Gaming
Howlsv,Verdant
HyP,Mandatory
HypeRR,5HEAD
Ianto,British
ICami,MYVRA
ICEKING,TYLOO
IDex,Ramboot Club
Iluri,MOUZ
Jademwah,Odd 1 OUT
Jan,BC SWELL
Jazzy,Leviatán GC
JessieVash,Team Secret
Jeyj7y,S2G Esports
Jkuro,JD Gaming
Johkubb,Wintermint
Johnqt,Sentinels
Jotinha,OXEN
JoXJo,RIDDLE
Kakarot,ZOL Esports
KHaaLiD,The Ultimates
KHorror,RTZN
KiNgg,Leviatán
KingHaS,Coalesce
